epoch,learning_rate,train_total,train_clean,train_adversarial,train_physical,train_pgd,train_consistency,train_physical_consistency,train_pgd_consistency,train_clean_fidelity,train_physical_fidelity,train_pgd_fidelity,train_adversarial_fidelity,val_total,val_clean,val_adversarial,val_physical,val_pgd,val_consistency,val_physical_consistency,val_pgd_consistency,val_clean_fidelity,val_physical_fidelity,val_pgd_fidelity,val_adversarial_fidelity
1,0.0003,0.14355681213378907,0.05330797367453575,0.08585765689492225,0.07847786116003991,0.09323745280146599,0.04391183051586151,0.04316728592395783,0.04465637521624565,0.9129362162590027,0.8700330015754699,0.8847286994934082,0.8773808506393432,0.05251206693053245,0.011492578849196433,0.03886617541313171,0.029759669810533525,0.04797268092632294,0.02153313061594963,0.019511719077825545,0.023554542198777197,0.9607051949501038,0.9199627795219422,0.9345399942398072,0.9272513837814331
2,0.0003,0.06414766402006149,0.01688122097015381,0.043911810516119004,0.03702241971731186,0.05080120144844055,0.03354632323026657,0.03179251569986343,0.035300130861997604,0.9566705066299438,0.9127772277450562,0.9315432734298706,0.9221602508926392,0.046731894612312315,0.008786175347864628,0.035793649196624755,0.02785817250609398,0.043729126065969466,0.021520698428153993,0.019158763766288757,0.023882633328437805,0.966917685508728,0.9222594742774963,0.9409133057594299,0.9315863881111145
3,0.0003,0.05689134537816048,0.013819727860093117,0.03993494213819504,0.03334089574098587,0.04652898832201958,0.03136675259590149,0.029549966834783555,0.03318353823661804,0.9632195973396301,0.9179215310287475,0.9384511861991882,0.9281863593292237,0.04383614826202393,0.007840840261429548,0.03384656274318695,0.02458517038822174,0.043107954561710356,0.021487453818321227,0.018796219632029532,0.02417868806421757,0.9728199100494385,0.9299249186515808,0.946858898639679,0.9383919086456299
4,0.0003,0.05347017154455185,0.012322258191108704,0.0381040265083313,0.03172902922272682,0.04447902425527572,0.03043887017726898,0.028801773104667663,0.03207596692204476,0.9672034258651734,0.9204528148078919,0.9426171632766723,0.9315349906158448,0.04139749372005463,0.006948609307408333,0.032339093565940856,0.024500928208231926,0.040177258938550946,0.02109790700674057,0.018992937982082368,0.023202875509858133,0.9747974605560302,0.9299739398956299,0.9495279774665832,0.9397509574890137
5,0.0003,0.05106527699708938,0.011358866524100304,0.03672863836407662,0.03048367611527443,0.04297360028862953,0.02977772097826004,0.028246948856711387,0.031308493036031726,0.9698026416397094,0.9222390997123718,0.9452207821846008,0.9337299432373047,0.03995644944906235,0.006352162212133408,0.03148562489449978,0.0242895250916481,0.03868172451853752,0.02118662229180336,0.019413514509797097,0.02295972999930382,0.9764905061721801,0.9301312885284424,0.9513046298027038,0.9407179613113403
6,0.0003,0.04964904327392578,0.010692537209689617,0.036027971963882445,0.02963483981370926,0.04242110425710678,0.029285340958833693,0.027697292748093606,0.030873388994932173,0.9714107653999329,0.9239281862258911,0.946563855266571,0.9352460203933716,0.03965768754482269,0.006076098784804344,0.03145253920555115,0.024283249273896218,0.038621828347444535,0.02129050025343895,0.01942789229750633,0.023153108209371567,0.9773813457489013,0.9299115943908691,0.9517726263999939,0.9408421096801758
7,0.0003,0.048293742642402646,0.010223345688581466,0.03519012640953064,0.029151444580554964,0.041228808070421216,0.028802706570625305,0.02762146419286728,0.029983948869109153,0.9727726431465149,0.9250309315681458,0.9482387682724,0.9366348498153686,0.039058821737766265,0.005750283535569906,0.03118661451339722,0.02433189257979393,0.03804133629798889,0.021219236552715303,0.019402051120996477,0.023036421701312065,0.9779650316238403,0.929454755783081,0.9517971773147583,0.9406259684562683
8,0.0003,0.047480785779953,0.009855470871329307,0.034756797820329664,0.028626730501055717,0.040886865327358246,0.028685171670913695,0.02739345150232315,0.029976891855597498,0.9738520474052429,0.9257945164108277,0.9489202932739258,0.9373574033164978,0.03966542479395867,0.006171855352818966,0.03130275624990463,0.022069652765989302,0.04053585946559906,0.021908137887716294,0.01970330484211445,0.024112970501184463,0.9800657720565796,0.9374377760887146,0.9532310638427735,0.945334421157837
9,0.0003,0.046827640552520755,0.0095509671241045,0.03443727788090706,0.028227905782461166,0.040646649845838545,0.028393956676721573,0.027088156151771545,0.02969975713789463,0.9746099573135376,0.9266812538146972,0.9494718432426452,0.9380765491867066,0.03804567512869835,0.005741397518664599,0.03018859665095806,0.022866854876279832,0.03751033884286881,0.021156806960701942,0.020029470592737197,0.022284143447875975,0.9803103590011597,0.9351007285118103,0.9548249430656434,0.9449628376960755
10,0.0003,0.04625650375843048,0.009236382071971893,0.034184513559341434,0.02807192436218262,0.040297102493047715,0.028356080112457275,0.02713956875383854,0.02957259143292904,0.9752987469100952,0.9269877432250977,0.9501044842338562,0.9385461119461059,0.038083870381116866,0.005379099629819393,0.030552530616521835,0.023502478152513506,0.03760258355736733,0.02152240243554115,0.02000510248541832,0.02303970216214657,0.9803497333526612,0.9318028988838196,0.9540662040710449,0.942934549331665
11,0.0003,0.04575397802829743,0.009024644678235053,0.03391656999349594,0.02786282054424286,0.03997031945228577,0.028127633663415908,0.026948482127785684,0.029306785106658937,0.9758960853385925,0.9276634656906128,0.9506384344863892,0.9391509477996827,0.03764531320333481,0.005311679393053055,0.030191232800483702,0.02315297092497349,0.03722949510812759,0.021424010634422303,0.020021774873137475,0.022826246410608292,0.9808693747520447,0.9340882554054261,0.9545515413284302,0.944319899559021
12,0.0003,0.04524123717546463,0.008850644756853581,0.03359546522140503,0.027577433195710183,0.0396134969162941,0.027951272525787354,0.02690569969177246,0.028996845226287843,0.9763699877738953,0.9281829480171203,0.9511621607971191,0.9396725519180298,0.03716171047091484,0.00515247343480587,0.029880984991788866,0.02299365337193012,0.036768316715955734,0.021282522201538086,0.019961620517075063,0.022603423938155173,0.9812084975242614,0.9341294012069702,0.9551781930923462,0.9446537981033325
13,0.0003,0.04494198257446289,0.008685207105278968,0.0334585828602314,0.02742521683394909,0.03949194886445999,0.02798192578613758,0.02682892789542675,0.029134923686385154,0.9768075863456727,0.9284118998718262,0.9513195568847657,0.9398657276153565,0.03759969478845596,0.005227735109627247,0.030178820371627807,0.022094986572861672,0.03826265406608582,0.021931396931409837,0.02005071571469307,0.023812078103423118,0.9818287115097046,0.9365155344009399,0.9551773376464844,0.9458464341163635
14,0.0003,0.044383096525669095,0.008538817209899425,0.033081497505903244,0.027125805526375772,0.03903718970179558,0.027627818866968155,0.026611388403177262,0.028644249311685563,0.9770745539474487,0.9290426632499695,0.9518908926582337,0.9404667779541016,0.037341867834329606,0.005159069448709488,0.029994941562414168,0.02198681031167507,0.03800307324528694,0.021878565028309822,0.020164021253585816,0.023593108385801316,0.9823711762428283,0.9376978793144226,0.9555098075866699,0.9466038465499877
15,0.0003,0.04421869968652725,0.008375989010632037,0.03308061955690384,0.027055806996822356,0.03910543209195137,0.027620909110307693,0.026546679837107658,0.028695138517022132,0.9774035444831848,0.9294534562301636,0.9519269569778442,0.9406902055358887,0.037080296993255615,0.004901649557054043,0.030022735983133316,0.02346489594876766,0.03658057627081871,0.021559112340211867,0.020209394544363022,0.02290882994234562,0.9813941869735717,0.9324000821113586,0.9551070151329041,0.9437535438537598
16,0.0003,0.04410923168182373,0.008310064878314734,0.033033864259719846,0.026959056243300437,0.03910867240667343,0.027653025957345964,0.02664810300707817,0.02865794904112816,0.9776825647354126,0.9296320722961425,0.9520720593452454,0.9408520654678345,0.037031010299921036,0.004851733088493347,0.030043775230646132,0.0243898416608572,0.03569770899415016,0.02135501851141453,0.020504533022642137,0.022205504059791565,0.9813835020065308,0.9299996194839477,0.9555866842269898,0.9427931547164917
17,0.0003,0.04391177111744881,0.008228393095731736,0.03292646058320999,0.026816435827612877,0.039036485297679904,0.027569175971150398,0.0264864944511652,0.02865185753881931,0.9779552905273438,0.9297910246086121,0.9521903215408325,0.9409906757736206,0.03696153217554093,0.004940375383943319,0.029861325204372405,0.022838563948869704,0.03688408616185188,0.02159831838309765,0.020275047123432158,0.022921589225530625,0.9824715228080749,0.9349026522636413,0.9558690466880798,0.9453858504295349
18,0.0003,0.04335822652697563,0.008070164641439915,0.03255939915895462,0.026712211875915527,0.038406586079597474,0.027286626377105713,0.026484298174381256,0.028088954548239706,0.9782613528823852,0.9302527021789551,0.952802149028778,0.9415274254989624,0.037231949150562285,0.004882216479629278,0.030120658680796622,0.022262948006391524,0.03797836947441101,0.022290741056203843,0.02055863666534424,0.02402284550666809,0.9830213475227356,0.9373047428131104,0.9556628322601318,0.9464837884902955
19,0.0003,0.0433220290851593,0.00798730626642704,0.03259672989845276,0.02649913038611412,0.03869432897567749,0.02737992890715599,0.02633753807961941,0.02842231964588165,0.9785390680122376,0.9306938328361511,0.9527430618095398,0.9417184480857849,0.03644236521422863,0.004920182872563601,0.02940624776482582,0.02261916580796242,0.036193329975008966,0.021159346148371696,0.0199300812035799,0.02238861133158207,0.9822809491157531,0.9358029646873474,0.9561930661201477,0.9459980125427246
20,0.0003,0.04332952163696289,0.007976447513103484,0.032612273964881894,0.026547745859622954,0.038676802178621295,0.027408001219034195,0.026409017885923387,0.028406984685659407,0.978563822631836,0.9309009954833984,0.9529075977897644,0.9419042983627319,0.036260874330997464,0.004702572464942932,0.02943804770708084,0.023388903930783272,0.035487191319465636,0.021202540934085846,0.020333720743656157,0.02207136134803295,0.9823877029418945,0.9334991450309753,0.9563400163650513,0.9449195804595947
21,0.0003,0.042699336335659026,0.007765865802764892,0.03221707586884499,0.02620420403301716,0.038229947711229326,0.027163946566581727,0.026134997249245645,0.028192895909547804,0.9790419528198242,0.9314181268692017,0.9532140594291687,0.9423160955429077,0.03701348850131035,0.004827690701931715,0.029990859746932982,0.022356947362422944,0.03762477234005928,0.021949380546808242,0.02025283581018448,0.023645925104618073,0.983215033531189,0.9372453317642212,0.955598192691803,0.9464217538833618
22,0.0003,0.04262608111381531,0.007775029463171959,0.03214561076879501,0.026315215497612954,0.03797600599527359,0.027054411967396736,0.02626021677315235,0.02784860703766346,0.9790047782897949,0.9314896240615844,0.9534517332458496,0.9424706789588928,0.03620966324210167,0.00462414425611496,0.029408237606287004,0.022548169165849685,0.036268306285142896,0.021772814095020295,0.02058534240722656,0.02296028584241867,0.9831836519241333,0.9363605303764343,0.9562441835403442,0.946302354812622
23,0.0003,0.04250127168774605,0.007643443880677224,0.032142421435117724,0.026124241369366644,0.038160601383447644,0.027154063564538956,0.026162840105295182,0.02814528701722622,0.9793853199577331,0.9315947150993347,0.9535951374626159,0.942594926738739,0.0363992355465889,0.004566236723214388,0.02962297052145004,0.022110276252031328,0.03713566508889198,0.022100282177329063,0.020325999930500983,0.02387456448376179,0.9835774240493774,0.9373643245697022,0.9563565254211426,0.9468604240417481
24,0.0003,0.04219255414843559,0.00759990209966898,0.03189223727107048,0.025949356129169463,0.03783511830806732,0.027004148720502854,0.026056376991271973,0.027951920424103736,0.9795553759384156,0.9320321768569946,0.9538947562789917,0.9429634680938721,0.03610496851801872,0.004609197303652763,0.029343935161828996,0.022545046135783196,0.0361428242623806,0.021518358796834947,0.020229389011859895,0.02280732846260071,0.9831229372024536,0.9367062835693359,0.9563990592956543,0.9465526714324951
25,0.0003,0.04217927664160728,0.007487112847864628,0.03199262769699097,0.02608036355435848,0.037904891836643216,0.026995361481904984,0.026101154752969744,0.0278895682901144,0.9797015219306946,0.931874154510498,0.9539034396362305,0.942888794631958,0.03650372409820556,0.004587180446833372,0.029710284501314164,0.02246476873755455,0.03695580044388771,0.022062592834234236,0.02052043004333973,0.0236047555655241,0.9832951798439026,0.9362647724151612,0.9562324004173279,0.9462485837936402
26,0.0003,0.04221395780801773,0.007469670167863369,0.032038952021598816,0.026019436585903166,0.038058467510938644,0.02705335854649544,0.026111681239008904,0.02799503584742546,0.9798404399108886,0.9319770178222656,0.9538081856155396,0.9428926029396058,0.03594598838686943,0.004581149272620678,0.02920826740562916,0.022055374324321746,0.03636116036772728,0.021565715610980987,0.020276535600423813,0.022854895681142805,0.9837876086235047,0.9377057600021362,0.9566359720230102,0.9471708679199219
