epoch,learning_rate,train_total,train_clean,train_adversarial,train_physical,train_pgd,train_consistency,train_physical_consistency,train_pgd_consistency,train_clean_fidelity,train_physical_fidelity,train_pgd_fidelity,train_adversarial_fidelity,val_total,val_clean,val_adversarial,val_physical,val_pgd,val_consistency,val_physical_consistency,val_pgd_consistency,val_clean_fidelity,val_physical_fidelity,val_pgd_fidelity,val_adversarial_fidelity
1,0.0003,0.27255813693205516,0.09160124041835467,0.17441884116331735,0.11732850462198258,0.23150917727152506,0.06538054996132851,0.03300276041825612,0.09775833921333155,0.8160788281758626,0.7694924341519673,0.7067261673291524,0.7381093002001444,0.15956973614692688,0.0350227900147438,0.11885243253707886,0.05816258519887924,0.1795422801017761,0.056945144891738894,0.017035801684856414,0.09685448875427247,0.8793545479774475,0.8310191987037658,0.7668495552062988,0.7989343757629395
2,0.0003,0.15839614840348562,0.03896638300220172,0.11313567301432291,0.061658072054386136,0.16461327374776205,0.06294092277288436,0.02948271427253882,0.09639913151661555,0.8778932272593181,0.8300629148165385,0.7759622293790182,0.8030125717798868,0.1360860450029373,0.02773918181657791,0.10303405840396881,0.04954469614028931,0.15652342076301576,0.053128043818473816,0.016446868878602982,0.08980921890735626,0.8933467977523804,0.8436082479476928,0.7889776207923889,0.8162929325103759
3,0.0003,0.13942062097390492,0.03264100312590599,0.10075956366062164,0.053513741983970006,0.14800538533528645,0.0602005411863327,0.028509709698955218,0.09189137297074,0.890396323299408,0.843421173063914,0.7946951879819234,0.819058181031545,0.12711114649772645,0.024889829671382903,0.09703691174983978,0.04541517080068588,0.1486586524963379,0.05184405680894852,0.016205794674158096,0.08748231904506683,0.9009518242835999,0.852006462097168,0.7987634613990784,0.8253849628448486
4,0.0003,0.13015427210330963,0.02982442912757397,0.09448284081617991,0.049306500931580864,0.13965918080806733,0.05847002495924632,0.02787296938498815,0.08906708045403162,0.8966666647275289,0.8523113180796306,0.8042489765485128,0.828280146408081,0.12073399510383606,0.022790588384866715,0.09267689847946167,0.03991021424531937,0.14544358205795288,0.05266508039832115,0.015797878491878508,0.0895322825551033,0.9068725399971008,0.866450416469574,0.8080767652511597,0.8372635934829712
5,0.0003,0.12422029741605123,0.0282607879281044,0.09029179043769836,0.046797891755898796,0.13378568933010102,0.05667718837459882,0.02731350513001283,0.08604087168773016,0.9002425758361816,0.857720361105601,0.8106836396217346,0.8342020000457764,0.11571731292009353,0.02206775192320347,0.08867636477947236,0.03960493933558464,0.13774778969287874,0.049731968277692794,0.015770818653702737,0.08369311797618866,0.9087037734031678,0.8661882949829102,0.8130996235847473,0.8396439596176147
6,0.0003,0.11990580415725707,0.027014035876592,0.08731980210145314,0.04497404903570811,0.1296655551791191,0.05571966207623482,0.026914971440037093,0.08452435279289881,0.9032097450574239,0.8613651865323385,0.8154950194040934,0.8384301040013631,0.11225344278812409,0.021157832595705986,0.08619661362171173,0.038250899070501325,0.1341423285484314,0.04898997209072113,0.015555615529417992,0.08242432878017425,0.9103945495605469,0.8689133363723754,0.8154909384727478,0.842202140045166
7,0.0003,0.11737918248573939,0.026176717300216357,0.08569127442042034,0.04383108141024907,0.12755146711667378,0.055111906119187676,0.026673051395018896,0.08355076076587041,0.9068403919219971,0.8660117327690124,0.8197867797851562,0.8428992569605509,0.10666870882511138,0.018962327629327775,0.08286195299625397,0.034295322144031526,0.13142858431339263,0.048444280022382734,0.014783160009980202,0.08210540027618408,0.9287954692840577,0.8942238468170166,0.8359694189071655,0.8650966309547424
8,0.0003,0.10809427561759949,0.02303636232614517,0.07990689848661423,0.040158334151903785,0.11965546267827352,0.05151014793316523,0.02498909762899081,0.07803119834264119,0.9276366717020671,0.8897726703325908,0.8459177017529805,0.8678451868057251,0.10100035192966461,0.01724934284389019,0.07914599430561066,0.03269056732058525,0.1256014216184616,0.0460501501262188,0.014360112908482551,0.07774018774032593,0.9365294998168945,0.9018305970191955,0.8480366877555847,0.8749336431503296
9,0.0003,0.1048008271574974,0.022019635478655496,0.07769784773985546,0.03895218117634455,0.11644351460933686,0.05083343983689944,0.024961215813954673,0.07670566387971242,0.9307420521736145,0.8930236192385356,0.8509428352673849,0.8719832275708517,0.10106006131172181,0.017201483595371245,0.07922841775417327,0.0322567175745964,0.1262001186609268,0.04630160128474235,0.01428137354105711,0.07832182866334915,0.9372256575584411,0.9029601476669311,0.8492658608436584,0.8761130035400391
10,0.0003,0.1032149120648702,0.021522624142964682,0.07666084168752034,0.03820126528541247,0.1151204181989034,0.05031446119149526,0.024671890515089036,0.07595703171690305,0.932022816435496,0.89478787094752,0.8526534440676371,0.8737206589698792,0.09910505267381668,0.01708252544403076,0.07764468421936035,0.03386528814435005,0.1214240805387497,0.04377843329310417,0.014280318585038185,0.07327654786705971,0.9371279187202454,0.8978398513793945,0.850263753414154,0.8740518039703369
