epoch,learning_rate,train_total,train_clean,train_adversarial,train_physical,train_pgd,train_consistency,train_physical_consistency,train_pgd_consistency,train_clean_fidelity,train_physical_fidelity,train_pgd_fidelity,train_adversarial_fidelity,val_total,val_clean,val_adversarial,val_physical,val_pgd,val_consistency,val_physical_consistency,val_pgd_consistency,val_clean_fidelity,val_physical_fidelity,val_pgd_fidelity,val_adversarial_fidelity
1,0.0003,0.12793370698690415,0.05197360700964928,0.07237156822681427,0.08098284682035446,0.06376028944253921,0.035885308647155764,0.044437624886631964,0.027332992395758628,0.9442666909217835,0.9103697908401489,0.9367730255126954,0.9235714032173157,0.02286751059194406,0.004918977022171021,0.01679685251414776,0.019558392032980917,0.014035312734544277,0.011516809105873108,0.018416818742950758,0.004616799366970857,0.981441610177358,0.9548272453943888,0.9746659506162008,0.9647465947469076
2,0.0003,0.0327932363986969,0.008499070379883051,0.022147244429588316,0.02687193157672882,0.01742255734503269,0.02146921566128731,0.029873056691884996,0.013065374627709389,0.9802833889961242,0.9488088629722595,0.97371608877182,0.9612624781608582,0.022522794102629026,0.004311025574803352,0.016941461851199466,0.019812907204031945,0.01407001647601525,0.01270306152353684,0.020498841593662897,0.004907281334201495,0.9856301379203797,0.9561180993715922,0.9788776958783467,0.9674978976249695
3,0.0003,0.028951693400740622,0.006695669063180685,0.020279717990756035,0.02503478460907936,0.015524651253223418,0.01976306431889534,0.02837173188328743,0.011154396684467792,0.9835192781448364,0.9508070618629455,0.9769509641647339,0.9638790149688721,0.021127556006113688,0.00344288281040887,0.016374162077903747,0.020150857418775557,0.012597466555734476,0.013105111007889112,0.02128775961200396,0.004922462534159422,0.9871778567632039,0.9549703640937806,0.9803185407320658,0.9676444524129232
4,0.0003,0.027074004071950913,0.005866041754186153,0.019312313520908356,0.0239289293974638,0.01469569749236107,0.01895648903250694,0.027675010749697686,0.010237967216968536,0.9854370535850525,0.9517992567062378,0.9786861000061036,0.9652426798820496,0.019837833945949873,0.002835602009668946,0.015681290927032628,0.019788420900702475,0.011574161032835642,0.01320941016326348,0.021455385277668635,0.004963434651494026,0.9887391163508097,0.9553565233548482,0.9819110754330953,0.9686338070233663
5,0.0003,0.025656855791807175,0.005239821696281433,0.01858461514413357,0.023223709380626678,0.013945521038770675,0.01832418857216835,0.027180677211284636,0.009467700017988682,0.9868291261672973,0.952834704208374,0.9800759944915771,0.966455347442627,0.019788425013422966,0.0028800015387435754,0.015542376110951106,0.01916693603992462,0.011917816715935866,0.013660472482442856,0.022235033745567005,0.005085911179582278,0.9898557790120442,0.9574198090235392,0.9828287049929301,0.9701242450078329
6,0.0003,0.024832984271645545,0.004805061876773834,0.01822686665058136,0.022919465413689614,0.013534267973899842,0.01801055738925934,0.026906000918149948,0.009115113946795464,0.9878414108276368,0.9530862356185913,0.9809530559539795,0.9670196442604065,0.020132193158070247,0.003064746802051862,0.015679082870483398,0.018886905570824942,0.012471260214845339,0.013883631773293019,0.022534886926412583,0.005232376569261153,0.9906859596570333,0.9584951206843059,0.9833441464106242,0.970919633547465
7,0.0003,0.024308804658055305,0.004580905774980783,0.017940456181764604,0.02253968828320503,0.013341224189102649,0.01787442811727524,0.026893440932035446,0.008855415305495263,0.9886097767829894,0.9534796024322509,0.9817238763809204,0.9676017394065857,0.019520024945338568,0.002532269911840558,0.015601511185367902,0.019976743057370187,0.01122627891600132,0.01386243748664856,0.022732794592777886,0.004992080084979534,0.9906879162788391,0.9554615480105082,0.9836721539497375,0.9695668484369914
8,0.0003,0.02379479365646839,0.004379611925035715,0.017658152031898498,0.02233897653222084,0.012977327659726142,0.017570297741889954,0.026657016357779503,0.00848357881307602,0.9891349793434143,0.9534217071533203,0.9823029994010926,0.967862356376648,0.01993962876498699,0.0025946323002378146,0.015914337848623592,0.02020997352898121,0.01161870234956344,0.014306582699219385,0.023414129187663398,0.005199036113917827,0.9910283756256103,0.9557272682189941,0.9839046273231506,0.9698159383138021
9,0.0003,0.02352677337527275,0.0042185923226177695,0.01757318388521671,0.022219773426651955,0.012926594592630862,0.01734997181892395,0.026387481009960176,0.008312462396919728,0.989486520576477,0.9537199223518371,0.9825379732131958,0.9681289512634277,0.01974793376525243,0.002633205429961284,0.015704576124747596,0.01991712486743927,0.01149202698469162,0.014101522939900557,0.023182742287715274,0.00502030328537027,0.9913078351020813,0.9559157358805338,0.9842329506874085,0.9700743414560954
10,0.0003,0.02338272572159767,0.004102112266421318,0.017548149845004083,0.02224394403398037,0.012852355632185937,0.017324635964632035,0.02642973504960537,0.008219536903500557,0.9898050603866577,0.953339102935791,0.9827919931411743,0.9680655507087708,0.019877912670373917,0.0026109803970903156,0.01581740240752697,0.019927103474736214,0.011707701101899146,0.014495300715168318,0.023794913167754807,0.0051956884836157164,0.9916575778325398,0.9564025460879008,0.9843381695747375,0.9703703578313192
